store_id,survival_days,status,country,max_segment,creation_platform,products_created,admin_visits,source,seller_probability,tx,gmv_usd
1842269723731683560,261,1,A,B,A,-0.08015354958276692,-0.16197757131617802,I,1.0143033220547566,-0.0428090558283711,-0.07106120358044946
4773050910207726165,107,1,A,C,A,0.012446763575276241,0.5660167904844174,I,-0.2144084784955788,-0.07679312683661049,-0.09208382368065587
4171477716070775996,102,0,C,A,A,-0.0752054412460776,2.2950033997608315,A,-0.4674812215066563,0.6028882933281773,0.20925028145102872
-558102186785033374,101,1,C,C,A,-0.07803293172418578,-0.9354715807293108,A,-0.5743826388130597,-0.11077719784484988,-0.10646262373791036
-2987486431769169084,444,0,A,B,A,-0.0631886067141178,0.6115164380969547,I,1.6142602559172248,-0.09944917417543676,-0.1031258881733454
-6963705695862259533,425,0,C,D,A,-0.09429100197330786,0.11102031435904526,B,-0.4295203100549948,-0.11077719784484988,-0.10646262373791036
-7193599966822521751,230,1,A,C,A,-0.0872222757780374,-0.8444722855042363,A,-0.6642670958135459,-0.11077719784484988,-0.10646262373791036
-4904804263811477832,169,1,C,C,B,-0.06813671505080712,0.6570160857094918,I,-0.5770006327062778,-0.11077719784484988,-0.10646262373791036
-4121329730723440791,260,0,A,D,A,-0.06530922457269894,1.5670090379602362,B,1.6356405393785054,-0.020153008489544842,-0.05858600325582298
5315251339686362024,320,1,C,A,B,-0.10984219960290292,-1.1174701711794597,A,1.3816951317363555,-0.11077719784484988,-0.10646262373791036
-396145400114677567,20,1,A,C,B,0.040014795736831074,-0.2984765141537897,A,-0.7445522418722326,-0.11077719784484988,-0.10646262373791036
3834066579957030990,153,1,C,C,B,-0.05824049837742847,-0.4349754569914013,H,-0.7122636505225434,-0.11077719784484988,-0.10646262373791036
-6472183040907828098,150,0,C,D,A,0.017394871911965572,0.020021019133970832,B,1.2372691352938268,0.013831062518694544,-0.049232073936201284
7378852517321918805,125,0,C,A,A,0.002550546901897581,3.6144931805244114,A,1.9881970503318689,1.4071779738565096,3.1980165125435427
7549453255077293295,407,1,A,C,A,0.03011857906345242,1.6580083331853106,E,-0.6599037726581826,-0.11077719784484988,-0.10646262373791036
5913978593770408907,140,1,C,C,A,-0.0391549376501982,-0.25297686654125245,B,-0.7196812998866612,-0.11077719784484988,-0.10646262373791036
-533207366977335433,112,0,C,C,A,-0.10348034602715947,-0.5714743998290129,A,-0.6354691629881474,-0.11077719784484988,-0.10646262373791036
3658662036372159477,568,1,C,C,A,-0.09499787459283493,-0.02547862847856638,F,-0.7585148759693954,-0.11077719784484988,-0.10646262373791036
-2109728007584011827,112,1,A,C,A,-0.032793084074454776,0.47501749525934295,B,-0.6188885349977664,-0.11077719784484988,-0.10646262373791036
-1268312612996642933,588,0,A,C,D,-0.09994598292952424,-0.3894758093788641,D,-0.5826729528082502,-0.11077719784484988,-0.10646262373791036
8762222703568763143,676,0,A,A,A,-0.07308482338749646,0.3385185524217313,H,1.7757032126656709,0.0364871098575208,-0.013688328565085957
-8946322230311324457,134,0,A,C,A,-0.10984219960290292,-1.1174701711794597,B,-0.6808477238039269,-0.11077719784484988,-0.10646262373791036
-8447750491140676632,50,1,C,C,A,-0.10772158174432177,-1.026470875954385,B,-0.6236881904686662,-0.11077719784484988,-0.10646262373791036
-6533102343644374428,131,0,A,C,A,-0.005931924532426984,-0.20747721892871526,B,-0.6943740255855534,-0.11077719784484988,-0.10646262373791036
2971676925001724844,102,1,A,C,A,-0.10984219960290292,-1.026470875954385,A,-0.6145252118424029,-0.11077719784484988,-0.10646262373791036
-599019557080204767,207,1,A,D,A,-0.08934289363661854,0.6570160857094918,I,1.3432978879691575,-0.03148103215895797,-0.08047443507242716
8971020141885545662,50,1,C,C,A,-0.0872222757780374,-0.9354715807293108,B,-0.6952466902166261,-0.11077719784484988,-0.10646262373791036
-9208186689308687713,321,1,C,D,A,-0.1020666007881054,-0.3894758093788641,B,1.9842700594920424,0.025159086188107672,0.061961475970400574
2227136436284150258,173,0,A,B,A,-0.09429100197330786,-0.25297686654125245,A,1.3830041286829644,-0.11077719784484988,-0.10646262373791036
-8198387177924167129,416,0,C,C,A,-0.1084284543638488,-0.16197757131617802,A,-0.7633145314402953,-0.11077719784484988,-0.10646262373791036
-438437209165004000,80,1,A,C,A,-0.10489409126621356,-0.9809712283418479,I,-0.7222992937798791,-0.11077719784484988,-0.10646262373791036
4681728033395811105,111,1,C,C,A,-0.11054907222242996,-0.8444722855042363,E,-0.5473300352498066,-0.11077719784484988,-0.10646262373791036
7105936795842236499,50,1,A,C,A,0.2803514863760271,-1.1174701711794597,B,-0.7432432449256234,-0.11077719784484988,-0.10646262373791036
-8879540440708705003,413,1,A,B,A,-0.09711849245141606,-0.3439761617663269,A,0.8615870116170372,-0.11077719784484988,-0.10646262373791036
-652341900272392515,93,1,C,C,B,-0.10913532698337586,-1.1629698187919968,I,-0.6969920194787714,-0.11077719784484988,-0.10646262373791036
4486526154589156496,591,0,A,D,A,-0.05611988051884733,-0.02547862847856638,A,1.7237796671168462,-0.07679312683661049,-0.09900043371644546
6564388506849992599,231,0,A,C,A,-0.10913532698337586,-0.798972637891699,A,-0.6005625777452402,-0.11077719784484988,-0.10646262373791036
3739352532635756890,170,1,A,D,A,-0.01865563168391383,-0.2984765141537897,A,1.5269937928099566,-0.08812115050602362,-0.07714165298601926
-4477065070689732014,87,1,C,C,A,-0.07732605910465874,0.15651996197158247,A,-0.6564131141338917,-0.11077719784484988,-0.10646262373791036
-5007471812478956386,190,1,C,C,A,-0.09075663887567263,-0.2984765141537897,D,-0.5896542698568317,-0.11077719784484988,-0.10646262373791036
7509168652913281419,147,0,C,A,B,-0.046223663845468665,0.11102031435904526,E,1.6788374386166032,0.12711129921282582,-0.011624612967096723
3036535737332388127,54,1,C,C,B,-0.111255944841957,-1.1629698187919968,F,-0.5848546143859319,-0.11077719784484988,-0.10646262373791036
-1376739077216373421,80,1,A,C,A,-0.09782536507094312,-0.1164779237036408,E,-0.7113909858914707,-0.11077719784484988,-0.10646262373791036
-6575232085076981476,249,1,A,B,A,-0.049758026943103904,0.15651996197158247,I,1.481178899678641,-0.09944917417543676,-0.10278193557368052
-1282692272159299009,50,1,C,C,A,-0.09287725673425376,-0.9354715807293108,H,-0.7637508637558316,-0.11077719784484988,-0.10646262373791036
89830868470726632,47,1,C,C,A,-0.10560096388574064,-0.6624736950540874,H,-0.6437594769833379,-0.09944917417543676,0.0690500623060226
-5207964362393468914,131,1,C,C,A,-0.04905115432357686,-0.1164779237036408,D,-0.6175795380511574,-0.11077719784484988,-0.10646262373791036
-4045340848838706573,133,1,A,D,A,-0.020776249542494973,0.11102031435904526,A,1.5335387775430018,-0.03148103215895797,-0.06047774255397977
-343193831778024747,408,0,A,D,A,-0.015121268586278597,1.7945072760229224,I,1.5444470854314107,-0.07679312683661049,-0.09149475543525283
-5013559887770168255,80,1,C,C,B,-0.11054907222242996,-0.9809712283418479,D,-0.7633145314402953,-0.09944917417543676,-0.09811090113110528
1111987678359374023,445,0,C,B,A,-0.012293778108170408,0.5205171428718802,A,-0.3165102403310824,-0.11077719784484988,-0.10646262373791036
506514012173484535,189,1,A,C,A,-0.07591231386560464,0.7480153809345662,A,-0.6057985655316762,-0.11077719784484988,-0.10646262373791036
8329508546306644092,47,0,A,C,B,-0.111255944841957,-1.208469466404534,H,-0.6817203884349995,-0.11077719784484988,-0.10646262373791036
4954683443202653487,406,0,A,C,A,0.024463598107236043,-0.9354715807293108,E,-0.6175795380511574,-0.11077719784484988,-0.10646262373791036
-8859134796962686413,231,0,A,C,A,-0.08086042220229397,-0.3894758093788641,I,-0.5883452729102225,-0.11077719784484988,-0.10646262373791036
-6029993556469786537,134,1,A,B,A,0.0343598147806147,1.0665129142223266,D,1.1373490350360047,-0.08812115050602362,-0.0897018530910227
8881371700344857640,467,0,A,D,A,-0.10418721864668652,-0.1164779237036408,I,1.6439308533736958,-0.020153008489544842,-0.05754228502235716
4416966463779399383,50,1,A,C,C,-0.111255944841957,-1.208469466404534,B,-0.7222992937798791,-0.11077719784484988,-0.10646262373791036
-8769597005959798356,215,1,C,B,D,0.12130514698244148,1.931006218860534,D,-0.5272587487351349,-0.05413707949778423,-0.08269826653577764
-3369253977372133429,295,1,C,B,A,-0.10984219960290292,1.1575122094474009,F,-0.35578014872935304,-0.05413707949778423,-0.07809048774371548
4855635796253436317,389,0,C,H,A,0.1856305553594028,2.5225016378235177,A,1.761740578568508,5.190737879440494,4.190114181712532
1067211339368577142,111,1,C,C,A,-0.09994598292952424,-0.7534729902791618,D,-0.7777134978529945,-0.11077719784484988,-0.10646262373791036
8045060122364961643,21,1,C,C,A,-0.10348034602715947,0.2930189048091941,H,1.4113657291928263,-0.03148103215895797,-0.09275789170643588
7677644185659921770,393,0,A,G,A,-0.07591231386560464,0.6115164380969547,I,1.6064062742375709,0.9200729560717448,1.1727287222410059
